Employment,Country,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,OpSys,Age,Gender,Sexuality,Ethnicity,ConvertedCompYearly
"Employed full-time","United Kingdom of Great Britain and Northern Ireland","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",24,18,"Developer, full-stack","5,000 to 9,999 employees","GBP	Pound sterling",100005,Yearly,HTML/CSS;JavaScript;SQL;TypeScript,HTML/CSS;JavaScript;Rust;SQL;TypeScript,PostgreSQL;SQLite,PostgreSQL;SQLite,AWS;Heroku,AWS,MacOS,"35-44 years old",Man,"Gay or Lesbian","White or of European descent",129266
"Employed full-time",Netherlands,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",10,2,"Engineer, data;Academic researcher","1,000 to 4,999 employees","EUR European Euro",24000,Yearly,Bash/Shell;C;C++;Matlab;PowerShell;Python,Bash/Shell;C;C++;Matlab;Python,NA,NA,NA,NA,Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",25944
"Independent contractor, freelancer, or self-employed","United States of America","Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",30,30,"Developer, desktop or enterprise applications;Developer, back-end","2 to 9 employees","USD	United States dollar",NA,NA,Go;HTML/CSS;Java;JavaScript;SQL,Go;HTML/CSS;Java;JavaScript;Node.js;SQL,DynamoDB;MariaDB;MongoDB;MySQL;PostgreSQL;Redis,MariaDB;MongoDB;MySQL;PostgreSQL;Redis,"AWS;Google Cloud Platform",AWS,Linux-based,"45-54 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time",India,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",4,NA,"Developer, front-end","100 to 499 employees","INR	Indian rupee",NA,NA,HTML/CSS;JavaScript,NA,NA,NA,NA,NA,MacOS,"25-34 years old",Man,"Straight / Heterosexual","Prefer not to say",NA
"Student, full-time","United Kingdom of Great Britain and Northern Ireland","Some college/university study without earning a degree",5,NA,NA,NA,NA,NA,NA,Assembly;Bash/Shell;C;C#;PHP;PowerShell;Python;SQL,Assembly;Bash/Shell;C;C#;Python;Rust;SQL,Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,MySQL,DigitalOcean,NA,Windows,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Student, part-time",Georgia,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",4,NA,NA,NA,NA,NA,NA,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Python;SQL;TypeScript,Bash/Shell;HTML/CSS;Kotlin;Node.js;Python;TypeScript,Firebase;MongoDB;PostgreSQL,Firebase;MongoDB;PostgreSQL;Redis,NA,NA,Linux-based,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent;Biracial",NA
"Employed full-time","United States of America","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",25,15,"Developer, front-end;Developer, full-stack;Developer, back-end","100 to 499 employees","USD	United States dollar",105000,Yearly,HTML/CSS;JavaScript;PHP,HTML/CSS;JavaScript;PHP;Python,NA,NA,NA,NA,Windows,"45-54 years old",Man,"Straight / Heterosexual","White or of European descent",105000
"Employed full-time",Poland,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",12,8,"Developer, front-end;Developer, full-stack;DevOps specialist;Engineer, site reliability","5,000 to 9,999 employees","PLN	Polish zloty",15000,Monthly,Bash/Shell;C#;Dart;Delphi;Go;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Objective-C;PHP;PowerShell;Python;SQL;Swift;TypeScript,NA,"Firebase;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL",NA,"Google Cloud Platform;Microsoft Azure","Google Cloud Platform",Linux-based,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",45564
"Employed full-time",Canada,"Other doctoral degree (Ph.D., Ed.D., etc.)",10,8,"Data scientist or machine learning specialist","500 to 999 employees","CAD	Canadian dollar",200000,Yearly,HTML/CSS;Python;R,HTML/CSS;Python;R;Rust,DynamoDB,DynamoDB,AWS,AWS,MacOS,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",151263
"Employed part-time","Russian Federation","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",NA,NA,"Developer, mobile",NA,NA,NA,NA,Kotlin,Kotlin,Firebase;PostgreSQL;SQLite,Firebase;PostgreSQL;SQLite,"Google Cloud Platform","Google Cloud Platform",Windows,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent;Middle Eastern",NA
"Employed full-time",Spain,"Associate degree (A.A., A.S., etc.)",NA,NA,"Developer, back-end","100 to 499 employees","EUR European Euro",20000,Yearly,C#;Go;Java;Python,C++;Clojure;Go;Rust,Elasticsearch;Firebase;MariaDB;MySQL;PostgreSQL;Redis,PostgreSQL,"AWS;Google Cloud Platform;Heroku",AWS;Heroku,MacOS,"18-24 years old",Man,"Straight / Heterosexual","Hispanic or Latino/a/x",21620
"Independent contractor, freelancer, or self-employed",Uzbekistan,"Primary/elementary school",1,NA,"Developer, front-end;Student;Designer","Just me - I am a freelancer, sole proprietor, etc.","UZS	Uzbekistani som",1000000000,Yearly,HTML/CSS;JavaScript;Node.js,HTML/CSS;JavaScript;Node.js,MongoDB,MongoDB,NA,NA,Windows,"Under 18 years old",Man,"Prefer not to say","Southeast Asian",105024
"Employed full-time",Sweden,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",10,3,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, QA or test;System administrator","1,000 to 4,999 employees","SEK	Swedish krona",33000,Monthly,Bash/Shell;Java;JavaScript;PHP;Python,C;Python;Rust,PostgreSQL,NA,NA,NA,Linux-based,"35-44 years old",Man,"Straight / Heterosexual;Prefer to self-describe:","White or of European descent",40500
"Student, full-time",Netherlands,"Associate degree (A.A., A.S., etc.)",5,NA,NA,NA,NA,NA,NA,Dart;HTML/CSS;JavaScript;PHP;TypeScript,Dart;HTML/CSS;JavaScript;PHP;TypeScript,MariaDB;MongoDB;MySQL,MariaDB;MongoDB;MySQL,NA,NA,Windows,"18-24 years old",Woman,Bisexual,"White or of European descent",NA
"Employed part-time",Switzerland,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",12,7,"Developer, full-stack","2 to 9 employees","CHF	Swiss franc",3600,Monthly,Assembly;C;C#;Go;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Python;SQL;TypeScript,NA,"MariaDB;Microsoft SQL Server;MySQL;SQLite",NA,"Microsoft Azure",NA,Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",43908
"Employed full-time",Hungary,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",25,6,"Developer, front-end;Developer, full-stack","Just me - I am a freelancer, sole proprietor, etc.","HUF	Hungarian forint",1100000,Monthly,Dart;HTML/CSS;Java;JavaScript;Node.js;PowerShell;TypeScript,Dart;HTML/CSS;JavaScript;Node.js;PowerShell;TypeScript,Firebase;MariaDB;MongoDB;MySQL;Oracle,Firebase;MongoDB,"Google Cloud Platform","Google Cloud Platform",Linux-based,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",42336
"Employed part-time",Germany,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",7,2,"Data scientist or machine learning specialist;Academic researcher;Scientist;Student;Developer, game or graphics","I donâ€™t know","EUR European Euro",NA,NA,C;C++;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;Python;Rust;SQL;TypeScript,C++;Java;Kotlin;Python,MySQL;PostgreSQL;Redis;SQLite,PostgreSQL;Redis;SQLite,AWS,AWS,Linux-based,"18-24 years old","Man;Or, in your own words:","Straight / Heterosexual;Prefer to self-describe:","White or of European descent",NA
"Employed full-time",Canada,"Something else",31,17,"Developer, back-end","20 to 99 employees","CAD	Canadian dollar",126000,Yearly,C#;SQL;TypeScript,SQL,"Elasticsearch;Microsoft SQL Server","Elasticsearch;Microsoft SQL Server","AWS;Microsoft Azure","Microsoft Azure",Windows,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",95295
"Employed full-time","United States of America","Other doctoral degree (Ph.D., Ed.D., etc.)",18,1,"Engineer, data;Data scientist or machine learning specialist;Scientist","20 to 99 employees","USD	United States dollar",100000,Yearly,Bash/Shell;C#;HTML/CSS;Julia;Matlab;Python,Bash/Shell;C#;C++;Julia;Matlab;Python,NA,NA,"Google Cloud Platform","Google Cloud Platform",Windows,"25-34 years old",Man,"Straight / Heterosexual","South Asian",100000
"Employed full-time","United Kingdom of Great Britain and Northern Ireland","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",26,14,"Developer, full-stack","10 to 19 employees","GBP	Pound sterling",47500,Yearly,C#;Clojure;Go;JavaScript;Python;SQL,Clojure,"Microsoft SQL Server",NA,"Microsoft Azure",NA,Windows,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",61398
"Student, full-time",Canada,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",9,NA,NA,NA,NA,NA,NA,C;C++;Java;JavaScript;Node.js;Python;R,Python,PostgreSQL,PostgreSQL,NA,NA,Windows,"18-24 years old",Man,"Straight / Heterosexual","East Asian",NA
"Not employed, but looking for work",Belgium,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",10,NA,"Developer, full-stack;Developer, back-end",NA,NA,NA,NA,JavaScript;Node.js;Python,Python,PostgreSQL;SQLite,PostgreSQL;SQLite,AWS,"AWS;DigitalOcean;Google Cloud Platform",Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time",Netherlands,"Primary/elementary school",20,10,"Other (please specify):;DevOps specialist;System administrator","10,000 or more employees","EUR European Euro",100000,Yearly,Bash/Shell;C#;JavaScript;Node.js;PowerShell;Python;TypeScript,C#;C++;F#;PowerShell;Python;Rust;TypeScript,NA,NA,NA,NA,Windows,"25-34 years old",Man,Bisexual,"White or of European descent",108098
"Employed full-time",Germany,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",12,8,"Developer, front-end","20 to 99 employees","EUR European Euro",NA,NA,HTML/CSS;Java;JavaScript;Node.js;PHP;PowerShell;SQL;TypeScript,NA,MongoDB;MySQL;PostgreSQL;SQLite,NA,"AWS;Google Cloud Platform",NA,MacOS,"25-34 years old","Prefer not to say","Prefer not to say","Prefer not to say",NA
"Employed full-time",India,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",6,5,"Developer, mobile","100 to 499 employees","INR	Indian rupee",NA,Monthly,HTML/CSS;Objective-C;Swift,Kotlin;Objective-C;Swift,Firebase;MySQL;SQLite,Firebase;MySQL;SQLite,AWS,AWS,MacOS,"25-34 years old",Man,"Straight / Heterosexual","East Asian",NA
"Not employed, but looking for work",Israel,"Something else",NA,NA,NA,NA,NA,NA,NA,Perl,Perl,NA,NA,NA,NA,BSD,"45-54 years old",Man,NA,"White or of European descent",NA
"Employed full-time",Italy,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",25,21,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, embedded applications or devices","100 to 499 employees","EUR European Euro",NA,NA,C#;HTML/CSS;Java;JavaScript;Node.js;SQL;TypeScript,C#;HTML/CSS;Java;JavaScript;Node.js;SQL;TypeScript,"Microsoft SQL Server;MongoDB;Oracle;SQLite","Microsoft SQL Server;MongoDB;Oracle;SQLite",NA,NA,Windows,"35-44 years old",Man,NA,"White or of European descent",NA
"Employed full-time",Germany,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",10,"Less than 1 year","Developer, full-stack","100 to 499 employees","EUR European Euro",40000,Monthly,Bash/Shell;Clojure;Haskell;Java;JavaScript;Kotlin;Python,Haskell,Cassandra,NA,"AWS;Google Cloud Platform",NA,Linux-based,"18-24 years old","Non-binary, genderqueer, or gender non-conforming",Bisexual;Queer,"White or of European descent",518868
"Employed full-time",Poland,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",10,4,"Developer, front-end;Developer, full-stack;Developer, back-end;Designer","2 to 9 employees","PLN	Polish zloty",9000,Monthly,HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript,HTML/CSS;JavaScript;Node.js;TypeScript,Firebase;MongoDB;MySQL;PostgreSQL;SQLite,NA,"AWS;DigitalOcean;Google Cloud Platform;Heroku",NA,Windows,"18-24 years old",Man,"Gay or Lesbian","White or of European descent",27336
"Employed full-time",India,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",3,"Less than 1 year","Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end","20 to 99 employees","INR	Indian rupee",NA,Monthly,NA,NA,NA,NA,NA,NA,Linux-based,"18-24 years old",Man,"Straight / Heterosexual","East Asian",NA
"Employed full-time",Sweden,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",10,7,"Engineer, data;Developer, back-end","20 to 99 employees","SEK	Swedish krona",51000,Yearly,Scala,Scala,MongoDB,MongoDB,"Google Cloud Platform",AWS,MacOS,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",5216
"Independent contractor, freelancer, or self-employed",France,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",8,3,"Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end","Just me - I am a freelancer, sole proprietor, etc.","EUR European Euro",140000,Yearly,Dart;JavaScript;Node.js,C++;Dart;Swift,Firebase;PostgreSQL;SQLite,Firebase;SQLite,"Google Cloud Platform","AWS;Google Cloud Platform",MacOS,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent",151337
"Employed part-time",Germany,"Some college/university study without earning a degree",18,8,"Developer, desktop or enterprise applications;Developer, full-stack;Other (please specify):;Developer, back-end;DevOps specialist","10 to 19 employees","EUR European Euro",1900,Monthly,C#;HTML/CSS;JavaScript;PHP,C#,"MariaDB;Microsoft SQL Server;MongoDB;PostgreSQL;SQLite",PostgreSQL;SQLite,"AWS;Microsoft Azure",NA,"Other (please specify):","25-34 years old",Man,"Straight / Heterosexual","Or, in your own words:",24648
"Employed full-time",Pakistan,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",4,1,"Developer, back-end;Student","20 to 99 employees","PKR	Pakistani rupee",100000,Monthly,Python,C;C++;Rust,NA,NA,AWS,NA,Linux-based,"18-24 years old",Man,"Straight / Heterosexual","South Asian",7788
"Employed full-time","United States of America","Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",10,5,"Scientist;Engineering manager","100 to 499 employees","ZMW Zambian kwacha",1e29,Monthly,C++;Go;Python;TypeScript,C++;Go;Python;Rust;TypeScript,PostgreSQL;SQLite,PostgreSQL;SQLite,"AWS;Google Cloud Platform;Heroku","AWS;Google Cloud Platform;Heroku",Linux-based,"25-34 years old",Man,"Prefer not to say",NA,NA
"Independent contractor, freelancer, or self-employed",Israel,"Associate degree (A.A., A.S., etc.)",4,2,"Developer, front-end;Developer, full-stack;Developer, back-end","Just me - I am a freelancer, sole proprietor, etc.","USD	United States dollar",NA,NA,HTML/CSS;JavaScript;PHP;SQL,HTML/CSS;JavaScript;PHP;SQL,MySQL;PostgreSQL,MySQL;PostgreSQL,DigitalOcean,DigitalOcean,Windows,"25-34 years old",Man,NA,"White or of European descent",NA
"Employed full-time",Switzerland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",38,26,"Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end","1,000 to 4,999 employees","CHF	Swiss franc",132000,Yearly,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,"Microsoft SQL Server","Microsoft SQL Server","Microsoft Azure","Microsoft Azure",Windows,"55-64 years old",Man,"Straight / Heterosexual","White or of European descent",134176
"Employed full-time","United Kingdom of Great Britain and Northern Ireland","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",10,3,"Developer, full-stack","1,000 to 4,999 employees","GBP	Pound sterling",50000,Yearly,Go;JavaScript;Node.js;PHP;TypeScript,Go;JavaScript;PHP;TypeScript,"Microsoft SQL Server",NA,NA,NA,Windows,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent",64630
"Employed full-time",France,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",30,25,"Product manager;Senior Executive (C-Suite, VP, etc.)",NA,NA,NA,NA,Java;JavaScript,Java;JavaScript,Oracle,NA,NA,NA,MacOS,"45-54 years old",Man,NA,"White or of European descent",NA
"Employed full-time",Spain,"Associate degree (A.A., A.S., etc.)",10,8,"Developer, full-stack;Developer, back-end;Product manager","100 to 499 employees","EUR European Euro",36000,Yearly,HTML/CSS;Java;JavaScript;Node.js;Python;SQL,HTML/CSS;Java;JavaScript;Node.js;Python;SQL;TypeScript,"Microsoft SQL Server;MongoDB;PostgreSQL",MongoDB;PostgreSQL,NA,NA,Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",38915
"Employed full-time",Nigeria,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",8,3,"Developer, mobile;Developer, front-end;Developer, full-stack","10 to 19 employees","NGN	Nigerian naira",150000,Monthly,HTML/CSS;JavaScript;Python,NA,MySQL;PostgreSQL;Redis,NA,DigitalOcean,NA,MacOS,"18-24 years old",Man,"Straight / Heterosexual","Black or of African descent",4944
"Employed part-time",Germany,"Some college/university study without earning a degree",6,1,"Developer, full-stack;Student","20 to 99 employees","EUR European Euro",2275,Monthly,Bash/Shell;C#;Dart;Go;HTML/CSS;JavaScript;Node.js;PowerShell;Python;SQL;TypeScript,Bash/Shell;C#;Go;HTML/CSS;JavaScript;Node.js;PowerShell;Python;SQL;TypeScript,"Couchbase;DynamoDB;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite","DynamoDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite","AWS;Microsoft Azure","AWS;Microsoft Azure",Windows,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent",29508
"Employed full-time",Sweden,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",25,20,"Developer, embedded applications or devices;Engineering manager;Product manager","20 to 99 employees","SEK	Swedish krona",NA,Monthly,Assembly;C;C++,Assembly;C,NA,NA,NA,NA,"Other (please specify):","35-44 years old",Man,"Straight / Heterosexual","Or, in your own words:",NA
"I prefer not to say",Greece,"Something else",4,NA,NA,NA,NA,NA,NA,Dart;HTML/CSS;Python,Java;JavaScript;PHP;SQL,NA,NA,Heroku,NA,Windows,"Under 18 years old",Man,Queer,"White or of European descent",NA
"Employed full-time",Netherlands,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",8,4,"Developer, back-end","20 to 99 employees","EUR European Euro",NA,Monthly,Go;Java;Node.js;PHP;Python,Node.js;PHP;Python,Firebase;MySQL;PostgreSQL,MySQL,AWS,NA,MacOS,"25-34 years old",Man,"Straight / Heterosexual","Middle Eastern",NA
"Employed full-time",Italy,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",13,2,"Engineer, data;Developer, back-end;Academic researcher;Student;Data or business analyst","500 to 999 employees","EUR European Euro",1100,Monthly,Bash/Shell;HTML/CSS;Java;JavaScript;PHP;Python;Scala;SQL;VBA,LISP;Perl,MySQL;Oracle;PostgreSQL,MongoDB,AWS,NA,Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",14268
"Student, full-time",Poland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",4,NA,NA,NA,NA,NA,NA,Bash/Shell;C#;C++;HTML/CSS;JavaScript;PowerShell;Python,Bash/Shell;C#;C++;HTML/CSS;JavaScript;Python;TypeScript,NA,NA,NA,NA,Windows,"Under 18 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time",Netherlands,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",10,2,"Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Designer","100 to 499 employees","EUR European Euro",40000,Yearly,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Python;SQL;TypeScript,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Python;TypeScript,MariaDB;MySQL;PostgreSQL,MariaDB;MySQL;PostgreSQL,NA,NA,Linux-based,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",43239
